review,label,length,hindi,back_translated,bleu_score,quality_flag
"It perfectly balances humor and drama. Wow, simply wow.",Positive,55,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह।","It balances comedy and drama perfectly. Wow, just wow.",0.13545994273378145,FAIL
I walked in with low expectations and they were met. It is what it is.,Negative,70,मैं कम उम्मीदों के साथ आया था और वे पूरी हुईं। जो है सो है।,I came with low expectations and they were met. It is what it is.,0.8230724650381228,FAIL
"Simply put, this is cinema at its finest. I can't wait to see it again.",Negative,71,सीधे शब्दों में कहें तो यह सिनेमा अपने चरम पर है। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,"Simply put, this is cinema at its peak. I can't wait to see it again.",0.8492326635760689,FAIL
An absolute joy to watch from start to finish. Two thumbs way up.,Positive,65,शुरू से अंत तक देखने में परम आनंद आया। दो अंगूठे ऊपर की ओर.,An absolute joy to watch from beginning to end. Two thumbs up.,0.46068944149360136,PASS
The visual effects were superb and added so much depth. This movie is a triumph in every sense.,Positive,95,दृश्य प्रभाव शानदार थे और इसमें बहुत अधिक गहराई थी। यह फिल्म हर दृष्टि से एक विजय है।,The visual effects were spectacular and had a lot of depth. This film is a triumph in every sense.,0.462985228134777,PASS
A frustrating experience. Zero stars if I could give it.,Negative,56,एक निराशाजनक अनुभव. यदि मैं इसे दे सकूं तो शून्य सितारे।,A disappointing experience. Zero stars if I could give it.,0.8265168183793802,PASS
I am confused about how I feel. A polarizing experience for sure.,Neutral,65,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। निश्चित रूप से एक ध्रुवीकरण अनुभव।,I'm confused about how I feel. Certainly a polarizing experience.,0.4716381284555772,PASS
"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.",Positive,89,"वाह, बस वाह. यह हास्य और नाटक को पूरी तरह संतुलित करता है। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. It balances comedy and drama perfectly. A must-watch for fans of the genre.",0.6898472732966654,PASS
Total garbage. I walked out halfway through.,Negative,44,कुल कचरा. मैं आधे रास्ते से बाहर चला गया।,Total garbage. I walked out halfway.,0.767279645960659,PASS
A refreshing take on a tired genre. I can't wait to see it again.,Negative,65,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,A refreshing take on a tired genre. I can't wait to see it again.,1.0,FAIL
This movie is a triumph in every sense. Highly recommended for everyone.,Positive,72,यह फिल्म हर दृष्टि से एक विजय है। सभी के लिए अत्यधिक अनुशंसित.,This film is a triumph in every sense. Highly recommended for all.,0.708339753228812,PASS
Total garbage. Do not bother.,Negative,29,कुल कचरा. ध्यान न देना।,Total garbage. neglect.,0.19153996003797966,FAIL
Standard fare for this type of movie. Wait for it to come out on streaming.,Neutral,75,इस प्रकार की फ़िल्म के लिए मानक किराया. इसके स्ट्रीमिंग पर आने का इंतज़ार करें।,Standard fare for this type of movie. Wait for it to arrive on streaming.,0.7659552353576201,PASS
"Finally, a movie that respects the audience. Two thumbs way up.",Positive,63,"अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है। दो अंगूठे ऊपर की ओर.","Ultimately, a film that respects the audience. Two thumbs up.",0.5240124171055637,PASS
"Neither good nor bad, just exists. If you're bored, give it a shot.",Negative,67,"न अच्छा, न बुरा, बस अस्तित्व में है। यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","Neither good, nor bad, just exists. If you are bored, give it a try.",0.6004981752197522,FAIL
"The lead actor delivered a delightful performance. Wow, just wow.",Positive,65,"मुख्य अभिनेता ने मनमोहक प्रदर्शन किया। वाह, बस वाह.","The lead actor gave a captivating performance. Wow, just wow.",0.5923033072023249,PASS
I have never been so bored in my life. Do not bother.,Negative,53,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। ध्यान न देना।,I have never been so bored in my life. neglect.,0.6996313820728801,PASS
"Neither good nor bad, just exists. Acceptable, but forgettable.",Neutral,63,"न अच्छा, न बुरा, बस अस्तित्व में है। स्वीकार्य, लेकिन भूलने योग्य.","Neither good, nor bad, just exists. Acceptable, but forgettable.",0.8091067115702212,PASS
The lead actor delivered a gripping performance. I was hooked from the very first minute.,Positive,89,मुख्य अभिनेता ने मनोरंजक प्रदर्शन किया। मैं पहले मिनट से ही आदी हो गया था।,The lead actor gave an entertaining performance. I was hooked from the first minute.,0.5047325154308108,PASS
It doesn't leave a lasting impression. Middle of the road entertainment.,Neutral,72,यह कोई स्थायी प्रभाव नहीं छोड़ता. बीच सड़क मनोरंजन.,It does not leave any lasting effect. Beach street entertainment.,0.049595866818825295,FAIL
A refreshing take on a tired genre. Don't miss this one.,Positive,56,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। इसे मत चूकिए.,A refreshing take on a tired genre. Don't miss it.,0.7799950505759817,PASS
The direction was frankly uninspired. I want my two hours back.,Negative,63,दिशा स्पष्ट रूप से उदासीन थी। मुझे अपने दो घंटे वापस चाहिए।,Disha was clearly disinterested. I want my two hours back.,0.5810588684968079,PASS
I struggled to sit through the first half. A complete misfire.,Negative,62,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। एक पूर्ण मिसफायर.,I struggled to sit for the first half. A complete misfire.,0.7611606003349892,PASS
The lead actor delivered a memorable performance. An absolute joy to watch from start to finish.,Positive,96,मुख्य अभिनेता ने यादगार प्रदर्शन किया। शुरू से अंत तक देखने में परम आनंद आया।,The lead actor gave a memorable performance. An absolute joy to watch from beginning to end.,0.6133706010874769,PASS
I was hooked from the very first minute. Do yourself a favor and go see this.,Positive,77,मैं पहले मिनट से ही आदी हो गया था। अपने आप पर एक एहसान करो और इसे देखने जाओ।,I was hooked from the first minute. Do yourself a favor and go see it.,0.7306019860765528,PASS
The trailer was better than the movie. Do not bother.,Negative,53,फिल्म से बेहतर ट्रेलर था. ध्यान न देना।,The trailer was better than the movie. neglect.,0.6406914384370698,FAIL
It managed to be breathtaking without trying too hard. I was completely blown away by this film.,Positive,96,यह बहुत अधिक प्रयास किए बिना लुभावनी होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be breathtaking without trying too hard. I was completely enthralled by this film.,0.7940693189958064,PASS
I was completely blown away by this film. A definitive 10/10.,Positive,61,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। एक निश्चित 10/10.,I was completely enthralled by this film. A definite 10/10.,0.4286982293646294,FAIL
"Great concept, but the execution was wooden. A strange experience overall.",Neutral,74,"महान अवधारणा, लेकिन कार्यान्वयन लकड़ी का था। कुल मिलाकर एक अजीब अनुभव.","Great concept, but the execution was wooden. Overall a strange experience.",0.7272454093000141,PASS
"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.",Positive,89,हर दृश्य में कमाई हुई महसूस हुई और शुरुआती दृश्य दिल छू लेने वाला था। एक सिनेमाई उत्कृष्ट कृति.,Every scene felt earned and the opening scene was heart-touching. A cinematic masterpiece.,0.6160362085721387,PASS
An absolute joy to watch from start to finish. Highly recommended for everyone.,Positive,79,शुरू से अंत तक देखने में परम आनंद आया। सभी के लिए अत्यधिक अनुशंसित.,An absolute joy to watch from beginning to end. Highly recommended for all.,0.5149732203257935,PASS
I have mixed feelings about this one. 6/10 at best.,Neutral,51,इसके बारे में मेरी मिश्रित भावनाएँ हैं। सर्वोत्तम रूप से 6/10.,I have mixed feelings about it. 6/10 at best.,0.6407117598241614,PASS
I was hooked from the very first minute. It deserves all the awards it's getting.,Positive,81,मैं पहले मिनट से ही आदी हो गया था। यह इसे मिलने वाले सभी पुरस्कारों का हकदार है।,I was hooked from the first minute. It deserves all the awards it gets.,0.668702821056345,PASS
I have never been so bored in my life. Utterly disappointing.,Negative,61,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एकदम निराशाजनक.,I have never been so bored in my life. Absolutely disappointing.,0.7910665071754358,PASS
A refreshing take on a tired genre. Highly recommended for everyone.,Positive,68,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। सभी के लिए अत्यधिक अनुशंसित.,A refreshing take on a tired genre. Highly recommended for all.,0.842362674378975,PASS
It perfectly balances humor and drama. I was completely blown away by this film.,Positive,80,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It balances comedy and drama perfectly. I was completely enthralled by this film.,0.3611968100149042,PASS
"The dialogue was absolutely phenomenal. Wow, just wow.",Positive,54,"संवाद बिल्कुल अद्भुत था. वाह, बस वाह.","The communication was absolutely amazing. Wow, just wow.",0.5348259312838877,PASS
The lead actor delivered a heartwarming performance. A cinematic masterpiece.,Positive,77,मुख्य अभिनेता ने दिल छू लेने वाला प्रदर्शन किया। एक सिनेमाई उत्कृष्ट कृति.,The lead actor gave a heart-touching performance. A cinematic masterpiece.,0.5452469119630863,PASS
"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.",Positive,99,"वाह, बस वाह. मुझे विशेष रूप से पसंद आया कि गति को कैसे नियंत्रित किया गया। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. I especially liked how the speed was controlled. A must-watch for fans of the genre.",0.6139776196756084,PASS
I was completely blown away by this film. Don't miss this one.,Positive,62,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। इसे मत चूकिए.,I was completely enthralled by this film. Don't miss it.,0.5078431769269642,PASS
Nothing about the direction worked. What a complete waste of potential.,Negative,71,दिशा के बारे में कुछ भी काम नहीं आया. क्षमता की कितनी पूर्ण बर्बादी है।,Nothing about direction worked. What a complete waste of potential.,0.797897310670381,PASS
This movie is a triumph in every sense. Don't miss this one.,Positive,60,यह फिल्म हर दृष्टि से एक विजय है। इसे मत चूकिए.,This film is a triumph in every sense. Don't miss it.,0.6595087796160793,PASS
What a complete waste of potential. It’s a hard pass from me.,Negative,61,क्षमता की कितनी पूर्ण बर्बादी है। यह मेरे लिए एक कठिन मार्ग है।,What a complete waste of potential. This is a difficult path for me.,0.42534670240297046,PASS
"Wow, just wow. The chemistry between the cast was refreshing. A must-watch for fans of the genre.",Positive,97,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. The chemistry between the actors was refreshing. A must-watch for fans of the genre.",0.8656030552541708,PASS
I am confused about how I feel. Your mileage may vary significantly.,Neutral,68,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। आपका माइलेज काफी भिन्न हो सकता है।,I'm confused about how I feel. Your mileage may vary greatly.,0.708339753228812,PASS
I struggled to sit through the first half. Do not bother.,Negative,57,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। ध्यान न देना।,I struggled to sit for the first half. neglect.,0.40292759186936566,PASS
It doesn't leave a lasting impression. It serves its purpose as popcorn filler.,Neutral,79,यह कोई स्थायी प्रभाव नहीं छोड़ता. यह पॉपकॉर्न फिलर के रूप में अपना उद्देश्य पूरा करता है।,It does not leave any lasting effect. It serves its purpose as a popcorn filler.,0.41412387656655203,PASS
The opening scene was frankly unbearable. Total garbage.,Negative,56,शुरूआती दृश्य सचमुच असहनीय था। कुल कचरा.,The initial scene was truly unbearable. Total garbage.,0.4671379777282001,PASS
Total garbage. Zero stars if I could give it.,Negative,45,कुल कचरा. यदि मैं इसे दे सकूं तो शून्य सितारे।,Total garbage. Zero stars if I could give it.,1.0,PASS
A refreshing take on a tired genre. A definitive 10/10.,Negative,55,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। एक निश्चित 10/10.,A refreshing take on a tired genre. A definite 10/10.,0.7691605673134586,FAIL
A strange experience overall. It’s definitely not for everyone.,Negative,63,कुल मिलाकर एक अजीब अनुभव. यह निश्चित रूप से हर किसी के लिए नहीं है।,Overall a strange experience. It's definitely not for everyone.,0.4390357251785802,FAIL
"Neither good nor bad, just exists. It is what it is.",Negative,52,"न अच्छा, न बुरा, बस अस्तित्व में है। जो है सो है।","Neither good, nor bad, just exists. It is what it is.",0.8242367502646054,FAIL
I have mixed feelings about this one. Good for a one-time watch.,Negative,64,इसके बारे में मेरी मिश्रित भावनाएँ हैं। एक बार देखने के लिए अच्छा है।,I have mixed feelings about it. Nice to see once.,0.29190450436614646,FAIL
"Simply put, this is cinema at its finest. Two thumbs way up.",Negative,60,सीधे शब्दों में कहें तो यह सिनेमा अपने चरम पर है। दो अंगूठे ऊपर की ओर.,"Simply put, this is cinema at its peak. Two thumbs up.",0.6142150942225167,FAIL
I have mixed feelings about this one. You won't remember it a week from now.,Neutral,76,इसके बारे में मेरी मिश्रित भावनाएँ हैं। अब से एक सप्ताह बाद आपको यह याद नहीं रहेगा।,I have mixed feelings about it. You won't remember this a week from now.,0.6248304671739665,PASS
"Neither good nor bad, just exists. Wait for it to come out on streaming.",Negative,72,"न अच्छा, न बुरा, बस अस्तित्व में है। इसके स्ट्रीमिंग पर आने का इंतज़ार करें।","Neither good, nor bad, just exists. Wait for it to arrive on streaming.",0.6675075987129311,FAIL
Total garbage. A complete misfire.,Negative,34,कुल कचरा. एक पूर्ण मिसफायर.,Total garbage. A complete misfire.,1.0,PASS
The CGI distracted me from everything else. Total garbage.,Negative,58,सीजीआई ने मेरा ध्यान बाकी सभी चीजों से हटा दिया। कुल कचरा.,The CGI distracted me from everything else. Total garbage.,1.0,PASS
The soundtrack was frankly disjointed. Total garbage.,Negative,53,साउंडट्रैक स्पष्ट रूप से असंबद्ध था। कुल कचरा.,The soundtrack was apparently unconvincing. Total garbage.,0.43167001068522526,PASS
"The story arc was okay, but forgettable. Standard fare for this type of movie.",Neutral,78,"कहानी का आर्क ठीक था, लेकिन भूलने योग्य था। इस प्रकार की फ़िल्म के लिए मानक किराया.","The story arc was okay, but forgettable. Standard fare for this type of movie.",1.0,PASS
An absolute train wreck of a movie. Utterly disappointing.,Negative,58,किसी फिल्म का बिल्कुल रेल हादसा। एकदम निराशाजनक.,Quite the trainwreck of a movie. Absolutely disappointing.,0.2826657746622342,FAIL
I couldn't get past the disjointed lighting. I want my two hours back.,Negative,70,मैं असंबद्ध रोशनी से आगे नहीं बढ़ सका। मुझे अपने दो घंटे वापस चाहिए।,I couldn't move beyond the disjointed lights. I want my two hours back.,0.5681096832337497,PASS
"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.",Positive,95,"यह बहुत अधिक प्रयास किए बिना दोषरहित होने में कामयाब रहा। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","It managed to be flawless without trying too hard. Ultimately, a film that respects the audience.",0.709421400618421,PASS
"It serves its purpose as popcorn filler. If you're bored, give it a shot.",Neutral,73,"यह पॉपकॉर्न फिलर के रूप में अपना उद्देश्य पूरा करता है। यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","It serves its purpose as a popcorn filler. If you are bored, give it a try.",0.5777966168512882,PASS
I have never been so bored in my life. A complete misfire.,Negative,58,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एक पूर्ण मिसफायर.,I have never been so bored in my life. A complete misfire.,1.0,PASS
A cinematic masterpiece. Do yourself a favor and go see this.,Negative,61,एक सिनेमाई उत्कृष्ट कृति. अपने आप पर एक एहसान करो और इसे देखने जाओ।,A cinematic masterpiece. Do yourself a favor and go see it.,0.842362674378975,FAIL
"The screenplay was okay, but forgettable. It was... fine.",Neutral,57,"पटकथा ठीक थी, लेकिन भूलने योग्य थी। यह... ठीक था.","The script was okay, but forgettable. It was...okay.",0.6812455364200614,PASS
The visual effects were stellar and added so much depth. I was hooked from the very first minute.,Positive,97,दृश्य प्रभाव शानदार थे और इसमें बहुत अधिक गहराई थी। मैं पहले मिनट से ही आदी हो गया था।,The visual effects were spectacular and had a lot of depth. I was hooked from the first minute.,0.4881010344921759,PASS
"The lead actor delivered a flawless performance. Finally, a movie that respects the audience.",Positive,93,"मुख्य अभिनेता ने बेहतरीन अभिनय किया। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","The lead actor did a great job. Ultimately, a film that respects the audience.",0.329340597116918,PASS
"Wow, just wow. A must-watch for fans of the genre.",Positive,50,"वाह, बस वाह. इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. A must-watch for fans of the genre.",1.0,PASS
Total garbage. Save your money and watch something else.,Negative,56,कुल कचरा. अपना पैसा बचाएं और कुछ और देखें।,Total garbage. Save your money and watch something else.,1.0,FAIL
This movie is a triumph in every sense. I will be thinking about this for days.,Positive,79,यह फिल्म हर दृष्टि से एक विजय है। मैं कई दिनों तक इस बारे में सोचता रहूंगा.,This film is a triumph in every sense. I will be thinking about this for days.,0.8915993127600096,PASS
"It perfectly balances humor and drama. Wow, just wow.",Positive,53,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह.","It balances comedy and drama perfectly. Wow, just wow.",0.5081327481546147,PASS
I didn't expect to enjoy this as much as I did. Highly recommended for everyone.,Positive,80,मुझे उम्मीद नहीं थी कि मुझे इसका इतना आनंद मिलेगा। सभी के लिए अत्यधिक अनुशंसित.,I didn't expect to enjoy it so much. Highly recommended for all.,0.42162441249233046,PASS
A strange experience overall. A polarizing experience for sure.,Neutral,63,कुल मिलाकर एक अजीब अनुभव. निश्चित रूप से एक ध्रुवीकरण अनुभव।,Overall a strange experience. Certainly a polarizing experience.,0.17591223312310236,FAIL
"The acting is fine, but the final act is a bit generic. It was... fine.",Neutral,71,"अभिनय अच्छा है, लेकिन अंतिम अभिनय थोड़ा सामान्य है। यह... ठीक था.","The acting is good, but the final act is a bit generic. It was...okay.",0.744373319312051,PASS
I have never been so bored in my life. Zero stars if I could give it.,Negative,69,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। यदि मैं इसे दे सकूं तो शून्य सितारे।,I have never been so bored in my life. Zero stars if I could give it.,1.0,PASS
"The soundtrack was decent, but nothing special. It was... fine.",Neutral,63,"साउंडट्रैक अच्छा था, लेकिन कुछ खास नहीं। यह... ठीक था.","The soundtrack was good, but nothing special. It was...okay.",0.6298129992394241,PASS
I am confused about how I feel. It left me puzzled.,Neutral,51,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। इसने मुझे हैरान कर दिया।,I'm confused about how I feel. This surprised me.,0.42481820832988276,PASS
It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,79,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं पहले मिनट से ही आदी हो गया था।,It balances comedy and drama perfectly. I was hooked from the first minute.,0.4451828051595054,PASS
A cinematic masterpiece. A must-watch for fans of the genre.,Negative,60,एक सिनेमाई उत्कृष्ट कृति. इस शैली के प्रशंसकों के लिए अवश्य देखें।,A cinematic masterpiece. A must-watch for fans of the genre.,1.0,FAIL
I struggled to sit through the first half. Avoid this at all costs.,Negative,67,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। इससे हर कीमत पर बचें.,I struggled to sit for the first half. Avoid this at all costs.,0.8003203203844999,PASS
I was hooked from the very first minute. I can't wait to see it again.,Positive,70,मैं पहले मिनट से ही आदी हो गया था। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,I was hooked from the first minute. I can't wait to see it again.,0.8428014430784181,PASS
"The pacing was okay, but forgettable. Middle of the road entertainment.",Neutral,71,"गति ठीक थी, लेकिन भूलने योग्य थी। बीच सड़क मनोरंजन.","The pacing was fine, but forgettable. Beach street entertainment.",0.28926256292692815,FAIL
An absolute train wreck of a movie. A complete misfire.,Negative,55,किसी फिल्म का बिल्कुल रेल हादसा। एक पूर्ण मिसफायर.,Quite the trainwreck of a movie. A complete misfire.,0.6196760459608335,PASS
