"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
17,"1","2026-02-14T13:17:06.191280Z",17,2.569,"Total garbage. Zero stars if I could give it.","Negative","2026-02-14T13:17:06.191280Z"
18,"1","2026-02-14T13:17:17.531398Z",18,7.567,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-14T13:17:17.531398Z"
19,"1","2026-02-14T13:17:26.214919Z",19,5.189,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-14T13:17:26.214919Z"
20,"1","2026-02-14T13:17:40.611703Z",20,13.214,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-14T13:17:40.611703Z"
21,"1","2026-02-14T13:17:46.083718Z",21,3.944,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-14T13:17:46.083718Z"
22,"1","2026-02-14T13:17:52.439782Z",22,4.83,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-14T13:17:52.439782Z"
23,"1","2026-02-14T13:18:01.882548Z",23,8.011,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-14T13:18:01.882548Z"
24,"1","2026-02-14T13:18:06.267739Z",24,2.814,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-14T13:18:06.267739Z"
25,"1","2026-02-14T13:18:27.966827Z",25,20.229,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-14T13:18:27.966827Z"
26,"1","2026-02-14T13:18:32.333784Z",26,2.415,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-14T13:18:32.333784Z"
27,"1","2026-02-14T13:18:39.402375Z",27,5.58,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-14T13:18:39.402375Z"
28,"1","2026-02-14T13:18:44.570846Z",28,3.78,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-14T13:18:44.570846Z"
29,"1","2026-02-14T13:18:49.052611Z",29,2.953,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-14T13:18:49.052611Z"
30,"1","2026-02-14T13:19:01.226798Z",30,10.573,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-14T13:19:01.226798Z"
31,"1","2026-02-14T13:19:12.690395Z",31,5.645,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-14T13:19:12.690395Z"
32,"1","2026-02-14T13:19:20.639635Z",32,5.651,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Negative","2026-02-14T13:19:20.639635Z"
33,"1","2026-02-14T13:19:26.663115Z",33,4.605,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-14T13:19:26.663115Z"
34,"1","2026-02-14T13:19:30.838641Z",34,2.336,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-14T13:19:30.838641Z"
35,"1","2026-02-14T13:19:53.639354Z",35,19.482,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-14T13:19:53.639354Z"
36,"1","2026-02-14T13:20:00.465305Z",36,5.617,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Negative","2026-02-14T13:20:00.465305Z"
37,"1","2026-02-14T13:20:05.740103Z",37,3.849,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-14T13:20:05.740103Z"
38,"1","2026-02-14T13:20:14.701360Z",38,2.811,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-14T13:20:14.701360Z"
39,"1","2026-02-14T13:20:20.249958Z",39,3.709,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-14T13:20:20.249958Z"
40,"1","2026-02-14T13:20:27.862219Z",40,4.375,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-14T13:20:27.862219Z"
41,"1","2026-02-14T13:20:36.681353Z",41,6.958,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-14T13:20:36.681353Z"
42,"1","2026-02-14T13:20:40.388684Z",42,2.127,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-14T13:20:40.389742Z"
43,"1","2026-02-14T13:20:46.928387Z",43,5.047,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-14T13:20:46.928387Z"
44,"1","2026-02-14T13:20:52.801842Z",44,4.344,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Negative","2026-02-14T13:20:52.801842Z"
45,"1","2026-02-14T13:20:58.649728Z",45,4.001,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-14T13:20:58.649728Z"
46,"1","2026-02-14T13:21:02.837397Z",46,2.548,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-14T13:21:02.837397Z"
47,"1","2026-02-14T13:21:08.890053Z",47,4.524,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-14T13:21:08.890053Z"
48,"1","2026-02-14T13:21:12.075912Z",48,1.725,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-14T13:21:12.075912Z"
49,"1","2026-02-14T13:21:16.054328Z",49,2.469,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-14T13:21:16.054328Z"
50,"1","2026-02-14T13:21:22.251400Z",50,4.42,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Negative","2026-02-14T13:21:22.251400Z"
51,"1","2026-02-14T13:21:27.353041Z",51,3.415,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-14T13:21:27.353041Z"
52,"1","2026-02-14T13:21:32.709482Z",52,3.84,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-14T13:21:32.709482Z"
53,"1","2026-02-14T13:21:37.703100Z",53,3.482,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-14T13:21:37.703100Z"
54,"1","2026-02-14T13:21:47.445280Z",54,6.589,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Negative","2026-02-14T13:21:47.445280Z"
55,"1","2026-02-14T13:21:52.715186Z",55,3.761,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-14T13:21:52.715186Z"
56,"1","2026-02-14T13:21:56.712475Z",56,2.527,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-14T13:21:56.712475Z"
57,"1","2026-02-14T13:22:02.709872Z",57,2.353,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-14T13:22:02.709872Z"
58,"1","2026-02-14T13:22:18.264551Z",58,10.757,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-14T13:22:18.264551Z"
59,"1","2026-02-14T13:22:26.613483Z",59,4.801,"Total garbage. A complete misfire.","Negative","2026-02-14T13:22:26.613483Z"
60,"1","2026-02-14T13:22:33.031640Z",60,4.51,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-14T13:22:33.031640Z"
61,"1","2026-02-14T13:22:41.970717Z",61,5.049,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-14T13:22:41.970717Z"
62,"1","2026-02-14T13:22:45.659070Z",62,2.123,"I have never been so bored in my life. Do not bother.","Negative","2026-02-14T13:22:45.659070Z"
63,"1","2026-02-14T13:22:56.923072Z",63,3.957,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-14T13:22:56.923072Z"
64,"1","2026-02-14T13:23:06.015440Z",64,5.389,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-14T13:23:06.015440Z"
65,"1","2026-02-14T13:23:15.424527Z",65,3.19,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Positive","2026-02-14T13:23:15.424527Z"
66,"1","2026-02-14T13:23:21.304333Z",66,2.432,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-14T13:23:21.304333Z"
67,"1","2026-02-14T13:23:58.826311Z",67,13.141,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-14T13:23:58.826311Z"
68,"1","2026-02-14T13:24:05.230207Z",68,3.403,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-14T13:24:05.230207Z"
69,"1","2026-02-14T13:24:15.688087Z",69,8.876,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-14T13:24:15.688087Z"
70,"1","2026-02-14T13:24:19.724698Z",70,2.649,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-14T13:24:19.724698Z"
71,"1","2026-02-14T13:24:24.933637Z",71,2.854,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Neutral","2026-02-14T13:24:24.933637Z"
72,"1","2026-02-14T13:24:29.986921Z",72,3.013,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-14T13:24:29.986921Z"
73,"1","2026-02-14T13:24:34.243447Z",73,2.731,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-14T13:24:34.243447Z"
74,"1","2026-02-14T13:24:41.153364Z",74,5.224,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-14T13:24:41.153364Z"
75,"1","2026-02-14T13:24:47.891031Z",75,4.552,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Positive","2026-02-14T13:24:47.891031Z"
76,"1","2026-02-14T13:24:51.320376Z",76,1.902,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-14T13:24:51.320376Z"
77,"1","2026-02-14T13:24:55.211617Z",77,2.418,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-14T13:24:55.211617Z"
78,"1","2026-02-14T13:25:00.732160Z",78,3.692,"Standard fare for this type of movie. Good for a one-time watch.","Positive","2026-02-14T13:25:00.732160Z"
79,"1","2026-02-14T13:25:10.495005Z",79,3.746,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-14T13:25:10.495005Z"
80,"1","2026-02-14T13:25:17.852519Z",80,4.334,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T13:25:17.852519Z"
81,"1","2026-02-14T13:25:21.816952Z",81,2.642,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-14T13:25:21.816952Z"
82,"1","2026-02-14T13:25:27.433532Z",82,4.169,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-14T13:25:27.433532Z"
83,"1","2026-02-14T13:25:33.461904Z",83,4.461,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-14T13:25:33.461904Z"
84,"1","2026-02-14T13:25:37.591446Z",84,2.504,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-14T13:25:37.591446Z"
85,"1","2026-02-14T13:25:42.933227Z",85,3.748,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-14T13:25:42.933227Z"
86,"1","2026-02-14T13:25:47.196740Z",86,2.827,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-14T13:25:47.196740Z"
87,"1","2026-02-14T13:25:53.508103Z",87,4.567,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-14T13:25:53.508103Z"
88,"1","2026-02-14T13:26:00.094942Z",88,5.079,"It was... fine. It has some good moments, especially the character development. It is what it is.","Positive","2026-02-14T13:26:00.094942Z"
89,"1","2026-02-14T13:26:03.525060Z",89,1.908,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-14T13:26:03.525060Z"
90,"1","2026-02-14T13:26:08.170593Z",90,1.904,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-14T13:26:08.170593Z"
91,"1","2026-02-14T13:26:11.227712Z",91,2.413,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-14T13:26:11.227712Z"
92,"1","2026-02-14T13:26:14.713823Z",92,1.617,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-14T13:26:14.713823Z"
93,"1","2026-02-14T13:26:20.730221Z",93,3.927,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-14T13:26:20.730221Z"
94,"1","2026-02-14T13:26:28.243979Z",94,5.983,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-14T13:26:28.243979Z"
95,"1","2026-02-14T13:26:34.343696Z",95,4.227,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-14T13:26:34.343696Z"
96,"1","2026-02-14T13:26:41.283321Z",96,5.46,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-14T13:26:41.283321Z"
97,"1","2026-02-14T13:26:44.361252Z",97,1.57,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-14T13:26:44.361252Z"
98,"1","2026-02-14T13:26:50.592600Z",98,4.513,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-14T13:26:50.592600Z"
99,"1","2026-02-14T13:26:55.248081Z",99,2.965,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T13:26:55.248081Z"
100,"1","2026-02-14T13:27:01.452475Z",100,3.135,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-14T13:27:01.452475Z"
