"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
83,"1","2026-02-14T10:51:26.716574Z",82,4.331,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-14T10:51:26.716593Z"
84,"1","2026-02-14T10:51:30.730007Z",83,2.052,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-14T10:51:30.730027Z"
85,"1","2026-02-14T10:51:34.784291Z",84,2.579,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-14T10:51:34.784309Z"
86,"1","2026-02-14T10:51:39.255301Z",85,3.164,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-14T10:51:39.255319Z"
87,"1","2026-02-14T10:51:43.138707Z",86,2.266,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-14T10:51:43.138725Z"
88,"1","2026-02-14T10:51:48.512687Z",87,3.299,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-14T10:51:48.512709Z"
89,"1","2026-02-14T10:51:52.871883Z",88,2.928,"It was... fine. It has some good moments, especially the character development. It is what it is.","Neutral","2026-02-14T10:51:52.871905Z"
90,"1","2026-02-14T10:51:56.989911Z",89,2.698,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-14T10:51:56.989932Z"
91,"1","2026-02-14T10:52:01.782490Z",90,2.397,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-14T10:52:01.782509Z"
92,"1","2026-02-14T10:52:06.146181Z",91,3.034,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-14T10:52:06.146203Z"
93,"1","2026-02-14T10:52:09.788258Z",92,2.094,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-14T10:52:09.788289Z"
94,"1","2026-02-14T10:52:14.729769Z",93,3.526,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-14T10:52:14.729788Z"
95,"1","2026-02-14T10:52:18.334263Z",94,2.338,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-14T10:52:18.334282Z"
96,"1","2026-02-14T10:52:23.741277Z",95,3.233,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-14T10:52:23.741301Z"
97,"1","2026-02-14T10:52:31.135864Z",96,5.752,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-14T10:52:31.135883Z"
98,"1","2026-02-14T10:52:34.776525Z",97,2.501,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-14T10:52:34.776543Z"
99,"1","2026-02-14T10:52:40.756643Z",98,4.093,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-14T10:52:40.756662Z"
100,"1","2026-02-14T10:52:55.491594Z",99,6.049,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T10:52:55.491615Z"
101,"1","2026-02-14T10:53:02.189607Z",100,3.974,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-14T10:53:02.189625Z"
